
Epoch 1/100, Training Loss: 0.0656, Relative Loss: 0.2443
Epoch 11/100, Training Loss: 0.0030, Relative Loss: 0.0111
Epoch 21/100, Training Loss: 0.0021, Relative Loss: 0.0077
Epoch 31/100, Training Loss: 0.0017, Relative Loss: 0.0064
Epoch 41/100, Training Loss: 0.0015, Relative Loss: 0.0056
Epoch 51/100, Training Loss: 0.0014, Relative Loss: 0.0052
Epoch 61/100, Training Loss: 0.0013, Relative Loss: 0.0050
Epoch 71/100, Training Loss: 0.0013, Relative Loss: 0.0047
Epoch 81/100, Training Loss: 0.0012, Relative Loss: 0.0045
Epoch 91/100, Training Loss: 0.0012, Relative Loss: 0.0043
Test Loss: 0.0011, Relative Loss: 0.0042
