
Epoch 1/100, Training Loss: 0.0534, Relative Loss: 0.1774
Epoch 11/100, Training Loss: 0.0002, Relative Loss: 0.0005
Epoch 21/100, Training Loss: 0.0001, Relative Loss: 0.0003
Epoch 31/100, Training Loss: 0.0001, Relative Loss: 0.0003
Epoch 41/100, Training Loss: 0.0001, Relative Loss: 0.0002
Epoch 51/100, Training Loss: 0.0001, Relative Loss: 0.0002
Epoch 61/100, Training Loss: 0.0001, Relative Loss: 0.0002
Epoch 71/100, Training Loss: 0.0001, Relative Loss: 0.0002
Epoch 81/100, Training Loss: 0.0001, Relative Loss: 0.0002
Epoch 91/100, Training Loss: 0.0001, Relative Loss: 0.0002
Test Loss: 0.0000, Relative Loss: 0.0001
